CANCER_TYPE	CANCER_TYPE_DETAILED	N	Cancer_Type
Adrenocortical Carcinoma	Adrenocortical Adenoma	1	
Adrenocortical Carcinoma	Adrenocortical Carcinoma	25	
Ampullary Carcinoma	Ampullary Carcinoma	17	
Ampullary Carcinoma	Pancreatobiliary Ampullary Carcinoma	8	
Anal Cancer	Anal Gland Adenocarcinoma	1	
Anal Cancer	Anal Squamous Cell Carcinoma	32	
Appendiceal Cancer	Appendiceal Adenocarcinoma	19	
Appendiceal Cancer	Goblet Cell Carcinoid of the Appendix	8	
Appendiceal Cancer	Mucinous Adenocarcinoma of the Appendix	50	
Appendiceal Cancer	Signet Ring Cell Type of the Appendix	5	
Biliary Cancer	Cholangiocarcinoma	57	Cholangiocarcinoma
Biliary Cancer	Extrahepatic Cholangiocarcinoma	27	Cholangiocarcinoma
Biliary Cancer	Gallbladder Cancer	47	
Biliary Cancer	Intrahepatic Cholangiocarcinoma	115	Cholangiocarcinoma
Biliary Cancer	Perihilar Cholangiocarcinoma	1	Cholangiocarcinoma
Bladder Cancer	Bladder Adenocarcinoma	7	
Bladder Cancer	Bladder Squamous Cell Carcinoma	2	
Bladder Cancer	Bladder Urothelial Carcinoma	312	Bladder Cancer
Bladder Cancer	Plasmacytoid/Signet Ring Cell Bladder Carcinoma	6	
Bladder Cancer	Sarcomatoid Carcinoma of the Urinary Bladder	1	
Bladder Cancer	Small Cell Bladder Cancer	2	
Bladder Cancer	Upper Tract Urothelial Carcinoma	82	Bladder Cancer
Bladder Cancer	Urachal Adenocarcinoma	2	
Bladder Cancer	Urethral Adenocarcinoma	4	
Bladder Cancer	Urethral Squamous Cell Carcinoma	2	
Bladder Cancer	Urethral Urothelial Carcinoma	2	
Breast Carcinoma	Adenoid Cystic Breast Cancer	2	Breast Cancer
Breast Carcinoma	Breast Carcinoma	6	Breast Cancer
Breast Carcinoma	"Breast Invasive Cancer, NOS"	18	Breast Cancer
Breast Carcinoma	"Breast Invasive Carcinoma, NOS"	39	Breast Cancer
Breast Carcinoma	Breast Invasive Ductal Carcinoma	997	Breast Cancer
Breast Carcinoma	Breast Invasive Lobular Carcinoma	195	Breast Cancer
Breast Carcinoma	Breast Invasive Mixed Mucinous Carcinoma	1	Breast Cancer
Breast Carcinoma	Breast Mixed Ductal and Lobular Carcinoma	60	Breast Cancer
Breast Carcinoma	Metaplastic Breast Cancer	9	Breast Cancer
Breast Sarcoma	Breast Angiosarcoma	3	
Breast Sarcoma	Malignant Phyllodes Tumor of the Breast	9	
Cancer of Unknown Primary	"Adenocarcinoma, NOS"	3	
Cancer of Unknown Primary	Cancer of Unknown Primary	146	
Cancer of Unknown Primary	"Neuroendocrine Carcinoma, NOS"	3	
Cancer of Unknown Primary	"Neuroendocrine Tumor, NOS"	4	
Cancer of Unknown Primary	"Poorly Differentiated Carcinoma, NOS"	7	
Cancer of Unknown Primary	"Squamous Cell Carcinoma, NOS"	2	
Cervical Cancer	Cervical Adenosquamous Carcinoma	5	
Cervical Cancer	Cervical Clear Cell Carcinoma	1	
Cervical Cancer	Cervical Endometrioid Carcinoma	1	
