mtry	alpha	lambda	exponent
7	0	0.001	1
8	0	0.001	1
9	0	0.001	1
10	0	0.001	1
11	0	0.001	1
12	0	0.001	1
7	0.25	0.001	1
8	0.25	0.001	1
9	0.25	0.001	1
10	0.25	0.001	1
11	0.25	0.001	1
12	0.25	0.001	1
7	0.5	0.001	1
8	0.5	0.001	1
9	0.5	0.001	1
10	0.5	0.001	1
11	0.5	0.001	1
12	0.5	0.001	1
7	0.75	0.001	1
8	0.75	0.001	1
9	0.75	0.001	1
10	0.75	0.001	1
11	0.75	0.001	1
12	0.75	0.001	1
7	1	0.001	1
8	1	0.001	1
9	1	0.001	1
10	1	0.001	1
11	1	0.001	1
12	1	0.001	1
7	0	0.001	1.1
8	0	0.001	1.1
9	0	0.001	1.1
10	0	0.001	1.1
11	0	0.001	1.1
12	0	0.001	1.1
7	0.25	0.001	1.1
8	0.25	0.001	1.1
9	0.25	0.001	1.1
10	0.25	0.001	1.1
11	0.25	0.001	1.1
12	0.25	0.001	1.1
7	0.5	0.001	1.1
8	0.5	0.001	1.1
9	0.5	0.001	1.1
10	0.5	0.001	1.1
11	0.5	0.001	1.1
12	0.5	0.001	1.1
7	0.75	0.001	1.1
8	0.75	0.001	1.1
9	0.75	0.001	1.1
10	0.75	0.001	1.1
11	0.75	0.001	1.1
12	0.75	0.001	1.1
7	1	0.001	1.1
8	1	0.001	1.1
9	1	0.001	1.1
10	1	0.001	1.1
11	1	0.001	1.1
12	1	0.001	1.1
7	0	0.001	1.2
8	0	0.001	1.2
9	0	0.001	1.2
10	0	0.001	1.2
11	0	0.001	1.2
12	0	0.001	1.2
7	0.25	0.001	1.2
8	0.25	0.001	1.2
9	0.25	0.001	1.2
10	0.25	0.001	1.2
11	0.25	0.001	1.2
12	0.25	0.001	1.2
7	0.5	0.001	1.2
8	0.5	0.001	1.2
9	0.5	0.001	1.2
10	0.5	0.001	1.2
11	0.5	0.001	1.2
12	0.5	0.001	1.2
7	0.75	0.001	1.2
8	0.75	0.001	1.2
9	0.75	0.001	1.2
10	0.75	0.001	1.2
11	0.75	0.001	1.2
12	0.75	0.001	1.2
7	1	0.001	1.2
8	1	0.001	1.2
9	1	0.001	1.2
10	1	0.001	1.2
11	1	0.001	1.2
12	1	0.001	1.2
